42,44,46,44,42,47,42,42,41,41,39,45,41,43,42,45,41,43,45,44,46,44,43,45,42,43,45,42,42,42,41,40,45,40,44,39,37,40,45,40,42,41,41,43,43,43,39,40,43,41,42,42,42,42,45,44,41,42,41,44,43,41,43,43
43,44,45,42,41,41,43,43,43,38,42,45,46,42,41,44,43,42,43,40,40,42,41,42,40,37,42,44,44,44,40,45,43,41,47,41,43,42,43,41,42,43,41,43,43,42,41,43,41,41,40,46,43,43,45,44,45,41,43,38,44,42,42,43
45,40,43,40,44,43,42,42,43,43,42,43,44,45,43,40,45,42,43,45,42,42,42,42,43,43,41,43,44,44,40,44,42,46,42,38,43,41,41,41,41,40,43,43,40,43,43,41,41,41,42,43,44,41,46,39,42,40,48,43,43,40,43,42
41,41,43,44,38,45,42,38,43,42,45,40,40,44,41,44,46,46,42,39,42,45,45,43,42,43,41,40,42,45,42,40,45,42,46,46,44,44,45,43,43,42,41,43,45,42,42,46,42,38,42,39,42,40,44,41,45,43,43,42,42,39,41,41
41,46,45,44,44,40,44,44,42,47,43,43,46,40,44,40,40,39,43,40,44,39,44,41,39,44,45,44,44,45,41,44,41,41,42,39,39,42,42,44,43,42,43,42,45,39,44,38,43,46,42,44,40,46,43,43,42,41,40,40,39,44,42,42
43,44,43,44,43,40,40,45,43,44,42,42,42,42,41,43,40,42,39,41,42,43,40,44,41,40,39,41,45,40,44,42,39,43,43,40,39,40,43,43,42,41,43,40,42,46,46,41,43,41,40,42,42,43,40,45,42,39,41,42,39,37,43,41
39,44,43,43,43,43,40,40,44,41,41,43,44,44,42,41,42,41,43,43,39,39,45,42,41,43,42,37,42,40,44,43,45,43,43,42,42,46,44,42,40,41,41,42,43,40,43,45,41,40,42,44,42,44,45,41,45,41,40,42,41,44,41,41
42,43,44,41,44,46,40,43,41,41,44,40,38,38,42,43,46,39,43,40,44,42,41,43,43,45,39,43,42,41,45,42,46,41,42,41,41,43,45,40,46,44,40,42,44,40,40,44,42,41,42,42,45,41,44,42,43,46,41,41,43,46,40,44
45,41,40,43,42,41,44,44,42,45,39,44,43,44,44,44,41,42,42,39,42,40,41,41,45,41,40,38,42,43,43,41,42,42,42,41,40,43,40,42,44,48,44,39,45,41,44,43,40,40,44,42,42,39,43,40,41,45,41,43,40,40,45,48
44,44,41,42,40,46,40,47,40,40,41,42,41,42,43,41,41,44,42,41,42,46,41,42,43,42,41,42,43,41,45,43,41,42,44,43,43,43,44,43,43,44,41,41,44,44,43,42,43,44,43,42,43,41,43,39,44,43,41,41,42,43,42,47
42,39,41,41,41,40,40,43,43,39,43,40,44,43,43,46,41,45,42,44,45,42,45,44,42,38,44,42,44,43,42,45,44,40,43,45,43,47,42,46,44,43,46,44,43,43,42,44,41,41,44,41,42,44,43,44,43,42,44,41,41,44,43,47
45,43,43,40,44,44,44,42,41,42,46,43,41,39,45,42,43,39,38,40,44,40,43,43,42,45,43,41,42,44,43,43,42,47,43,44,43,39,42,41,38,42,42,42,45,40,44,45,43,44,40,46,45,40,41,45,42,45,43,40,41,40,43,45
39,42,46,41,39,41,42,43,45,41,40,43,39,43,40,45,43,43,43,44,41,44,40,44,44,41,42,42,43,45,44,41,45,45,41,42,45,41,42,46,42,42,44,44,41,44,44,42,42,42,45,42,45,45,44,44,45,44,41,42,44,38,42,42
45,44,38,43,44,41,43,44,42,44,41,42,47,42,42,39,42,46,43,42,41,44,40,43,44,44,43,43,43,42,40,40,47,43,43,44,42,43,42,44,43,43,43,43,42,41,40,46,44,44,41,42,41,43,46,45,42,47,45,44,43,47,44,46
